Title,Release Date,Language,Hero,Heroine
The End,05-12-2014,Telugu,Venu,Pavani Reddy
Maaya,01-08-2014,Telugu,Harshvardhan Rane,Avantika Mishra
Emo Gurram Egaravachu,25-01-2014,Telugu,Sumanth,Savika Chaiyadej
Lakshmi Raave Maa Intiki,05-12-2014,Telugu,Naga Shaurya,Avika Gor
Yuddam,14-03-2014,Telugu,Srihari,Yami Gautam
Nee Jathaga Nenundali,22-08-2014,Telugu,Sachiin Joshi,Nazia Hussain
Naa Rakumardu,21-02-2014,Telugu,Naveen Chandra,Ritu Varma
Nuvvala Nenila,08-08-2014,Telugu,Varun Sandesh,Poorna
Minugurulu,24-01-2014,Telugu,Ashish Vidhyarthi,Suhasini Maniratnam
Hum Tum,14-02-2014,Telugu,Dharmavarupu Subramanyam,Simran Choudhary
Chakkiligintha,05-12-2014,Telugu,Sumanth Ashwin,Chandini Sreedharan
Weekend Love,14-04-2014,Telugu,Thrigun,Vidyullekha Raman
Ee Varsham Sakshiga,12-12-2014,Telugu,Varun Sandesh,Hariprriya
Hrudaya Kaleyam,04-04-2014,Telugu,Sampoornesh Babu,Kavya Kumar
Dil Deewana,07-02-2014,Telugu,Nagendra Babu,Neha Deshpande
Pove Pora,01-01-2014,Telugu,Karan,
Bangaru Kodipetta,07-03-2014,Telugu,Navdeep,Swathi Reddy
Pyar Mein Padipoyane,10-05-2014,Telugu,Aadi Saikumar,Shanvi Shrivastava
Maha Bhaktha Siriyala,01-01-2014,Telugu,Nandamuri Taraka Ratna,Archana
Vundile Manchi Kalam Mundu Munduna,05-12-2014,Telugu,,Avanthika Mohan
Superstar Kidnap,01-01-2014,Telugu,Bhupal Raju,
33 Prema Kathalu,01-01-2014,Telugu,,Gehana Vasisth
Oka Criminal Premakatha,19-07-2014,Telugu,,
Nangna Sityam,21-03-2014,Telugu,Ravi Babu,Veena Malik
Bāhubali: The Beginning,10-07-2015,Telugu,Prabhas,Tamannaah Bhatia
Kick 2,27-08-2015,Telugu,Ravi Teja,Rakul Preet Singh
Temper,13-02-2015,Telugu,N.T. Rama Rao Jr.,Kajal Agarwal
Beeruva,23-01-2015,Telugu,Sundeep Kishan,Surbhi
Kumari 21F,20-11-2015,Telugu,Raj Tarun,Hebah Patel
Son of Satyamurthy,09-04-2015,Telugu,Allu Arjun,Samantha Ruth Prabhu
Raju Gari Gadhi,16-10-2015,Telugu,Dhanraj Sukhram,Eshanya Maheshwari
Loafer,18-12-2015,Telugu,Varun Tej,Disha Patani
Rudhramadevi,09-10-2015,Telugu,Rana Daggubati,Anushka Shetty
Srimanthudu,07-08-2015,Telugu,Mahesh Babu,Shruti Haasan
Yevade Subramanyam,21-03-2015,Telugu,Nani,Malavika Nair
365 Days,22-05-2015,Telugu,Nandu Vijay Krishna,Anaika Soti
Bengal Tiger,10-12-2015,Telugu,Ravi Teja,Tamannaah Bhatia
Akhil,11-11-2015,Telugu,Akhil Akkineni,Sayesha Saigal
Bruce Lee - The Fighter,16-10-2015,Telugu,Ram Charan,Rakul Preet Singh
Gopala Gopala,10-01-2015,Telugu,Pawan Kalyan,Shriya Saran
Courier Boy Kalyan,17-09-2015,Telugu,Nithiin,Yami Gautam
Pandaga Chesko,29-05-2015,Telugu,Ram Pothineni,Rakul Preet Singh
Jadoogadu,26-06-2015,Telugu,Naga Shaurya,Sonarika Bhadoria
Pataas,23-01-2015,Telugu,Kalyan Ram,Jhansi
Bhale Bhale Magadivoy,04-09-2015,Telugu,Nani,Lavanya Tripathi
Shivam,02-10-2015,Telugu,Ram Pothineni,Raashii Khanna
Rey,27-03-2015,Telugu,Sai Durgha Tej,Saiyami Kher
Subramanyam For Sale,24-09-2015,Telugu,Sai Durgha Tej,Regina Cassandra
Dohchay,24-04-2015,Telugu,Naga Chaitanya Akkineni,Kriti Sanon
Janda Pai Kapiraju,21-03-2015,Telugu,Nani,Amala Paul
Sher,30-10-2015,Telugu,Kalyan Ram,Sonal Chauhan
Jil,27-03-2015,Telugu,Gopichand,Raashii Khanna
Avunu 2,01-01-2015,Telugu,Harshvardhan Rane,Poorna
Bhale Manchi Roju,25-12-2015,Telugu,Sudheer Babu,Wamiqa Gabbi
Singham 123,05-06-2015,Telugu,Sampoornesh Babu,Sanam Shetty
Kanche,23-10-2015,Telugu,Varun Tej,Pragya Jaiswal
Dongata,08-05-2015,Telugu,Adivi Sesh,Lakshmi Manchu
Surya Vs Surya,05-03-2015,Telugu,Nikhil Siddhartha,Tridha Choudhury
Budugu,17-04-2015,Telugu,,Indu Anand
Bandipotu,20-02-2015,Telugu,Allari Naresh,Eesha Rebba
Sankarabharanam,04-12-2015,Telugu,Nikhil Siddhartha,Anjali
Ee Cinema Superhit Guarantee,11-12-2015,Telugu,Y. Kasi Viswanath,Punarnavi Bhupalam
Gaddam Gang,06-02-2015,Telugu,Dr. Rajasekhar,Sheena Shahabadi
Tiger,26-06-2015,Telugu,Sundeep Kishan,Seerat Kapoor
James Bond,24-07-2015,Telugu,Allari Naresh,Sakshi Chaudhary
Sainma,22-08-2015,Telugu,Rahul Ramakrishna,
Lion,14-05-2015,Telugu,Nandamuri Balakrishna,Trisha Krishnan
Tungabhadra,20-03-2015,Telugu,Thrigun,Dimple Chopade
Mantra 2,01-08-2015,Telugu,Tanikella Bharani,Charmy Kaur
Tripura,24-07-2015,Telugu,Naveen Chandra,Swathi Reddy
Malli Malli Idhi Rani Roju,06-02-2015,Telugu,Sharwanand,Nithya Menen
Adithya (Creative Genius),05-06-2015,Telugu,Suman Talwar,Meena Vasu
Mama Manchu Alludu Kanchu,25-12-2015,Telugu,Allari Naresh,Meena
Columbus,22-10-2015,Telugu,Sumanth Ashwin,Mishti Chakravarty
Yavvanam Oka Fantasy,04-12-2015,Telugu,Arvind Krishna,Shubra Aaiyappa
Vinavayya Ramayya,06-04-2015,Telugu,Naga Anvesh,Kruthika Jayakumar
Ketugadu,18-09-2015,Telugu,Tejus Kancherla,Chandini Chowdary
Paddanandi Premalo Mari,14-02-2015,Telugu,Varun Sandesh,Vithika Sheru
Cinema Chupista Maava,14-08-2015,Telugu,Raj Tarun,Avika Gor
Bham Bolenath,27-02-2015,Telugu,Navdeep,Pooja Jhaveri
Pesarattu,06-02-2015,Telugu,Sampoornesh Babu,Nikitha Narayan
Mosagallaku Mosagadu,22-05-2015,Telugu,Sudheer Babu,Nandini Rai
Where Is Vidya Balan?,26-06-2015,Telugu,Prince Cecil,Jyotii Sethi
Asura,05-06-2015,Telugu,Nara Rohith,Priya Banerjee
Panileni Puliraju,24-06-2015,Telugu,Dhanraj Sukhram,Swetaa Varma
Ladies And Gentlemen,30-01-2015,Telugu,Chaitanya Krishna,Nikitha Narayan
Krishnamma Kalipindi Iddarini,19-06-2015,Telugu,M. S. Narayana,Nandita Raj
Soukhyam,25-12-2015,Telugu,Gopichand,Regina Cassandra
Jyothi Lakshmi,12-06-2015,Telugu,Satyadev Kancharana,Charmy Kaur
Kaali Charan,05-03-2015,Telugu,Chaitanya Krishna,Chandhini Tamilarasan
Kerintha,12-06-2015,Telugu,Sumanth Ashwin,Tejaswi Madivada
Jatha Kalise,25-12-2015,Telugu,Saptagiri,Tejaswi Madivada
A Shyam Gopal Varma Film,02-01-2015,Telugu,Shafi,Zoya Khan
Tippu,19-06-2015,Telugu,M. S. Narayana,Kanika Kapoor
Vaitarani,30-10-2015,Telugu,,
Thanu Nenu,27-11-2015,Telugu,Santosh Shoban,Avika Gor
Intelligent Idiots,23-01-2015,Telugu,Shakalaka Shankar,Shweta Basu Prasad
Best Actors,28-08-2015,Telugu,,Nyra Banerjee
Malini & Co.,28-08-2015,Telugu,Zakir Hussain,Poonam Pandey
Sneha Sagaram,09-09-2015,Telugu,,
Affair,27-11-2015,Telugu,Shaani Pagadala,Prashanthi
Danger,26-06-2015,Telugu,,
Panchamukhi,06-02-2015,Telugu,,
Supreme,05-05-2016,Telugu,Sai Durgha Tej,Raashii Khanna
Janatha Garage,01-09-2016,Telugu,N.T. Rama Rao Jr.,Samantha Ruth Prabhu
Oopiri,25-03-2016,Telugu,Nagarjuna Akkineni,Tamannaah Bhatia
Sarrainodu,08-04-2016,Telugu,Allu Arjun,Rakul Preet Singh
Brahmotsavam,20-05-2016,Telugu,Mahesh Babu,Samantha Ruth Prabhu
Dhruva,07-10-2016,Telugu,Ram Charan,Rakul Preet Singh
A Aa,02-06-2016,Telugu,Nithiin,Samantha Ruth Prabhu
Ism,21-10-2016,Telugu,Kalyan Ram,Aditi Arya
Pelli Choopulu,29-07-2016,Telugu,Vijay Deverakonda,Ritu Varma
Nannaku Prematho...,13-01-2016,Telugu,N.T. Rama Rao Jr.,Rakul Preet Singh
Nenu.. Sailaja...,01-01-2016,Telugu,Ram Pothineni,Keerthy Suresh
Sardaar Gabbar Singh,15-04-2016,Telugu,Pawan Kalyan,Kajal Agarwal
Ekkadiki Pothavu Chinnavada,18-11-2016,Telugu,Nikhil Siddhartha,Nandita Swetha
Gentleman,17-06-2016,Telugu,Nani,Surbhi
Manamantha,05-08-2016,Telugu,Mohanlal,Gautami Tadimalla
Abbayitho Ammayi,01-01-2016,Telugu,Naga Shaurya,Palak Lalwani
Soggade Chinni Nayana,15-01-2016,Telugu,Nagarjuna Akkineni,Ramya Krishnan
Kshanam,26-02-2016,Telugu,Adivi Sesh,Adah Sharma
Okka Ammayi Thappa,10-06-2016,Telugu,Sundeep Kishan,Nithya Menen
Majnu,23-09-2016,Telugu,Nani,Anu Emmanuel
Premam,09-09-2016,Telugu,Naga Chaitanya Akkineni,Shruti Haasan
Jakkanna,29-07-2016,Telugu,Sunil Varma,Mannara Chopra
Jaguar,05-10-2016,Telugu,Nikhil Kumar,Deepti Sati
Express Raja,14-01-2016,Telugu,Sharwanand,Surbhi
Babu Bangaram,12-08-2016,Telugu,Venkatesh,Nayanthara
Srirastu Subhamastu,05-08-2016,Telugu,Allu Sirish,Lavanya Tripathi
Speedunnodu,05-02-2016,Telugu,Bellamkonda Srinivas,Sonarika Bhadoria
Hyper,30-09-2016,Telugu,Ram Pothineni,Raashii Khanna
Dictator,15-01-2016,Telugu,Nandamuri Balakrishna,Anjali
Guntur Talkies,04-03-2016,Telugu,Naresh,Rashmi Gautham
Thikka,13-08-2016,Telugu,Sai Durgha Tej,Mannara Chopra
Krishna Gaadi Veera Prema Gaadha,12-02-2016,Telugu,Nani,Mehreen Pirzada
Shourya,04-03-2016,Telugu,Manchu Manoj,Regina Cassandra
Intlo Deyyam Nakem Bhayam,11-11-2016,Telugu,Allari Naresh,Kruthika Jayakumar
Right Right,10-06-2016,Telugu,Sumanth Ashwin,Pooja Jhaveri
Jayammu Nischayammuu Raa,25-11-2016,Telugu,Srinivasa Reddy,Poorna
Chuttalabbai,19-08-2016,Telugu,Aadi Saikumar,Namitha Pramod
Jyo Achyutananda,09-09-2016,Telugu,Nara Rohith,Regina Cassandra
Run,26-03-2016,Telugu,Sundeep Kishan,Anisha Ambrose
Eluka Majaaka,26-02-2016,Telugu,Brahmanandam,Pavani Reddy
Dialogue in the Dark,08-10-2016,Telugu,Teja Sajja,Chandini Chowdary
Savitri,01-04-2016,Telugu,Nara Rohith,Nandita Raj
Seethamma Andalu Ramayya Sitralu,29-01-2016,Telugu,Raj Tarun,Arthana Binu
Arddhanaari,01-07-2016,Telugu,,Mouryani
Eedo Rakam Aado Rakam,15-04-2016,Telugu,Vishnu Manchu,Hebah Patel
Shankara,27-08-2016,Telugu,Nara Rohith,Regina Cassandra
Kalyana Vaibhogame,04-03-2016,Telugu,Naga Shaurya,Malavika Nair
Selfie Raja,15-07-2016,Telugu,Allari Naresh,Sakshi Chaudhary
Krishnashtami,19-02-2016,Telugu,Sunil Varma,Nikki Galrani
Luv U Alia,17-06-2016,Telugu,V. Ravichandran,Bhumika Chawla
Siddhartha,16-09-2016,Telugu,Ajay,
Charusheela,16-09-2016,Telugu,Rajiv Kanakala,Rashmi Gautham
Antham,07-07-2016,Telugu,Charandeep,Rashmi Gautham
Vangaveeti,22-12-2016,Telugu,Sandeep Madhav,Naina Ganguly
Garam,12-02-2016,Telugu,Aadi Saikumar,Adah Sharma
Kundanapu Bomma,24-06-2016,Telugu,Nagineedu Vellanki,Chandini Chowdary
Edu Gold Ehe,07-10-2016,Telugu,Sunil Varma,Sushma Raj
Sri Sri,03-06-2016,Telugu,Krishna,Vijaya Nirmala
Mister 420,28-10-2016,Telugu,Varun Sandesh,
Appatlo Okadundevadu,30-12-2016,Telugu,Sree Vishnu,Tanya Hope
Meelo Evaru Koteeswarudu,16-12-2016,Telugu,Naveen Chandra,Saloni Aswani
L7,21-10-2016,Telugu,Thrigun,Pooja Jhaveri
Lacchimdeviki O Lekkundi,29-01-2016,Telugu,Naveen Chandra,Lavanya Tripathi
Tuntari,11-03-2016,Telugu,Nara Rohith,Latha Hegde
Nirmala Convent,16-09-2016,Telugu,Roshan Meka,Shriya Sharma
Rojulu Marayi,01-07-2016,Telugu,Chetan Maddineni,Tejaswi Madivada
Naruda Donoruda,04-11-2016,Telugu,Sumanth,
Appudala Ippudila,01-04-2016,Telugu,Prabhas Sreenu,
Terror,26-02-2016,Telugu,Srikanth,Nikita Thukral
The Great Story of Sodabuddi,15-04-2016,Telugu,Rangayana Raghu,
Pittagoda,24-12-2016,Telugu,Vishwadev Rachakonda,Punarnavi Bhupalam
Nandini Nursing Home,21-10-2016,Telugu,,
Naanna Nenu Naa Boyfriends,15-12-2016,Telugu,Ashwin Babu,Hebah Patel
Nadungaadhey Illathil Pei,11-11-2016,Telugu,,
Saptagiri Express,23-12-2016,Telugu,Mahesh Achanta,Roshini Prakash
Oka Manasu,17-06-2016,Telugu,Naga Shaurya,Niharika Konidela
Nenu Seetha Devi,21-10-2016,Telugu,Suman Shetty,Komalee Prasad
Meeku Meere Maaku Meeme,17-06-2016,Telugu,Tarun Shetty,Avantika Mishra
21st Century Love,23-07-2016,Telugu,Prudhviraj,
Raja Cheyyi Vesthe,29-04-2016,Telugu,Nara Rohith,Isha Talwar
Aatadukundam Raa,19-08-2016,Telugu,Sushanth,Sonam Bajwa
Nee Jathaleka,16-10-2016,Telugu,Naga Shaurya,
Guppedantha Prema,17-06-2016,Telugu,Sai Ronak,
Trivikraman,10-12-2016,Telugu,,
Vinodham 100%,27-05-2016,Telugu,Sampoornesh Babu,
Gurukulam – The School,27-10-2016,Telugu,Rajiv Kanakala,
Preminchu Pelladu,12-02-2016,Telugu,,Gehana Vasisth
Vetapalem,04-08-2016,Telugu,,
O Sthree Repu Raa,11-03-2016,Telugu,,
Slightly Mad,01-01-2016,Telugu,,
Wish You Happy Breakup,16-03-2016,Telugu,,
Tulasi Dalam,11-03-2016,Telugu,,
Chitram Bhalare Vichitram,01-01-2016,Telugu,,
Bāhubali 2: The Conclusion,27-04-2017,Telugu,Prabhas,Anushka Shetty
Radha,12-05-2017,Telugu,Sharwanand,Lavanya Tripathi
Hello!,22-12-2017,Telugu,Akhil Akkineni,Kalyani Priyadarshan
Arjun Reddy,25-08-2017,Telugu,Vijay Deverakonda,Shalini Pandey
M.C.A,21-12-2017,Telugu,Nani,Bhumika Chawla
Nene Raju Nene Mantri,11-08-2017,Telugu,Rana Daggubati,Kajal Agarwal
Yuddham Sharanam,08-09-2017,Telugu,Naga Chaitanya Akkineni,Lavanya Tripathi
The Ghazi Attack,17-02-2017,Telugu,Kay Kay Menon,Taapsee Pannu
Ninnu Kori,07-07-2017,Telugu,Nani,Nivetha Thomas
Jawaan,01-12-2017,Telugu,Sai Durgha Tej,Mehreen Pirzada
Fidaa,20-07-2017,Telugu,Varun Tej,Sai Pallavi
DJ: Duvvada Jagannadham,23-06-2017,Telugu,Allu Arjun,Pooja Hegde
Om Namo Venkatesaya,10-02-2017,Telugu,Nagarjuna Akkineni,Anushka Shetty
Gautamiputra Satakarni,12-01-2017,Telugu,Nandamuri Balakrishna,Shriya Saran
Jai Lava Kusa,21-09-2017,Telugu,N.T. Rama Rao Jr.,Nivetha Thomas
Srivalli,15-09-2017,Telugu,,Neha Hinge
Malli Raava,08-12-2017,Telugu,Sumanth,Aakanksha Singh
Khaidi No. 150,15-01-2017,Telugu,Chiranjeevi,Kajal Agarwal
Raja the Great,18-10-2017,Telugu,Ravi Teja,Mehreen Pirzada
Shatamanam Bhavati,14-01-2017,Telugu,Sharwanand,Anupama Parameswaran
Mister,14-04-2017,Telugu,Varun Tej,Lavanya Tripathi
Shamantakamani,14-07-2017,Telugu,Nara Rohith,Jenny Honey
Raju Gari Gadhi 2,13-10-2017,Telugu,Nagarjuna Akkineni,Samantha Ruth Prabhu
Winner,24-02-2017,Telugu,Sai Durgha Tej,Rakul Preet Singh
Dwaraka,03-03-2017,Telugu,Vijay Deverakonda,Pooja Jhaveri
Katamarayudu,24-03-2017,Telugu,Pawan Kalyan,Shruti Haasan
Angel,03-11-2017,Telugu,Naga Anvesh,Hebah Patel
Jaya Janaki Nayaka,11-08-2017,Telugu,Bellamkonda Srinivas,Rakul Preet Singh
PSV Garuda Vega,03-11-2017,Telugu,Dr. Rajasekhar,Pooja Kumar
Kiss Kiss Bang Bang,15-12-2017,Telugu,,
Guru,31-03-2017,Telugu,Venkatesh,Ritika Singh
Rarandoi Veduka Chudham,26-05-2017,Telugu,Naga Chaitanya Akkineni,Rakul Preet Singh
Luckunnodu,26-01-2017,Telugu,Vishnu Manchu,Hansika Motwani
London Babulu,17-11-2017,Telugu,Rakshith Atluri,Swathi Reddy
Sapthagiri LLB,08-12-2017,Telugu,Saptagiri,Jhansi
Next Nuvve,03-11-2017,Telugu,Aadi Saikumar,Vaibhavi Shandilya
Nakshatram,03-08-2017,Telugu,Sundeep Kishan,Pragya Jaiswal
Mahanubhavudu,29-09-2017,Telugu,Sharwanand,Mehreen Pirzada
Vunnadhi Okate Zindagi,27-10-2017,Telugu,Ram Pothineni,Anupama Parameswaran
Nenu Local,03-02-2017,Telugu,Nani,Keerthy Suresh
Goutham Nanda,27-07-2017,Telugu,Gopichand,Hansika Motwani
Mixture Potlam,19-05-2017,Telugu,Bhanuchander,Shweta Basu Prasad
Andhhagadu,02-06-2017,Telugu,Raj Tarun,Hebah Patel
Okka Kshanam,29-12-2017,Telugu,Allu Sirish,Surbhi
Kathalo Rajakumari,15-09-2017,Telugu,Nara Rohith,Namitha Pramod
Mental Madhilo,24-11-2017,Telugu,Sree Vishnu,Nivetha Pethuraj
2 Countries,29-12-2017,Telugu,Sunil Varma,Manisha Raj
Virus,30-06-2017,Telugu,Sampoornesh Babu,Geeth Shah
Ungarala Rambabu,15-09-2017,Telugu,Sunil Varma,Miya George
LIE,11-08-2017,Telugu,Nithiin,Megha Akash
Paisa Vasool,01-09-2017,Telugu,Nandamuri Balakrishna,Shriya Saran
Juliet Lover of Idiot,15-12-2017,Telugu,Naveen Chandra,Nivetha Thomas
Napoleon,24-11-2017,Telugu,Anand Ravi,Komalee Prasad
Gulf,15-10-2017,Telugu,Chetan Maddineni,Dimple Hayathi
Kittu Unnadu Jagratha,03-03-2017,Telugu,Raj Tarun,Anu Emmanuel
Devi Sri Prasad,24-11-2017,Telugu,Manoj Nandam,Pooja Ramachandran
Keshava,19-05-2017,Telugu,Nikhil Siddhartha,Ritu Varma
Oye Ninne,06-10-2017,Telugu,Bharath Margani,Srushti Dange
Patel S.I.R,20-07-2017,Telugu,Jagapati Babu,Padmapriya Janakiraman
Balakrishnudu,24-11-2017,Telugu,Nara Rohith,Regina Cassandra
Chandrullo Unde Kundelu,03-02-2017,Telugu,Tanikella Bharani,Supurna Malakar
Okkadu Migiladu,10-11-2017,Telugu,Manchu Manoj,Anisha Ambrose
Rendu Rellu Aaru,07-07-2017,Telugu,Ravi Kale,
Babu Baga Busy,05-05-2017,Telugu,Srinivas Avasarala,Mishti Chakravarty
Oxygen,01-12-2017,Telugu,Gopichand,Raashii Khanna
Meda Meeda Abbayi,08-09-2017,Telugu,Allari Naresh,Nikhila Vimal
Anando Brahma,18-08-2017,Telugu,Srinivasa Reddy,Taapsee Pannu
Ami Thumi,09-06-2017,Telugu,Adivi Sesh,Eesha Rebba
Aakatayi,10-03-2017,Telugu,Aashish Raj,Rukshar Dhillon
Prematho Mee Karthik,17-11-2017,Telugu,Kartikeya Gummakonda,Simrat Kaur
Maa Abbayi,17-03-2017,Telugu,Sree Vishnu,Chitra Shukla
Vaisakham,21-07-2017,Telugu,Prudhviraj,Avantika Mishra
Fashion Designer S/O Ladies Tailor,02-06-2017,Telugu,Sumanth Ashwin,Anisha Ambrose
Lakshmi Bomb,10-03-2017,Telugu,Posani Krishna Murali,Lakshmi Manchu
Chitrangada,03-10-2017,Telugu,,Anjali
Venkatapuram,12-05-2017,Telugu,Rahul Haridas,Mahima Makwana
Nenorakam,17-03-2017,Telugu,R. Sarathkumar,
Vellipomakey,02-09-2017,Telugu,Vishwak Sen,
Snehamera Jeevitham,17-11-2017,Telugu,Siva Balaji,
Shekaram Gari Abbayi,20-10-2017,Telugu,Vinnu Maddipati,Sai Akshatha
Rakshaka Bhatudu,12-05-2017,Telugu,Prabhakar,Richa Panai
Gunturodu,03-03-2017,Telugu,Manchu Manoj,Pragya Jaiswal
A Love Letter To Cinema,01-01-2017,Telugu,Camp Sasi,Aditi Myakal
The Front Page,07-07-2017,Telugu,Suhas,
Raja Meeru Keka,16-06-2017,Telugu,Nandamuri Taraka Ratna,Lasya Manjunath
Kaadhali,16-06-2017,Telugu,Sai Ronak,Pooja K. Doshi
Muduvandala Muppai Nalugo Katha,14-07-2017,Telugu,Kailash,
Lanka,21-04-2017,Telugu,Sai Ronak,Raasi
Vasham,04-08-2017,Telugu,Krishneswara Rao,Swetaa Varma
Darshakudu,04-08-2017,Telugu,Ashok,Eesha Rebba
Kutumba Katha Chitram,15-12-2017,Telugu,Nandu Vijay Krishna,Sreemukhi
Reservation,21-04-2017,Telugu,,
E Ee,22-12-2017,Telugu,,Naira Shah
O Pilla Nee Valla,26-05-2017,Telugu,Chaitanya Krishna,
Aranyamlo,07-04-2017,Telugu,,
Shivani,31-12-2017,Telugu,,
Rented House,01-01-2017,Telugu,,
Sriramudinta Srikrishnudanta,26-05-2017,Telugu,,
Aame,07-03-2017,Telugu,,
Anaganaga Oka Durga,27-10-2017,Telugu,,
Vajralu kavala nayana,01-01-2017,Telugu,,Neha Deshpande
Geetha Govindam,15-08-2018,Telugu,Vijay Deverakonda,Rashmika Mandanna
Nela Ticket,24-05-2018,Telugu,Ravi Teja,Malavika Sharma
Bharat Ane Nenu,20-04-2018,Telugu,Mahesh Babu,Kiara Advani
Aravindha Sametha,11-10-2018,Telugu,N.T. Rama Rao Jr.,Pooja Hegde
Tholi Prema,09-02-2018,Telugu,Varun Tej,Raashii Khanna
Naa Peru Surya - Naa Illu India,27-04-2018,Telugu,Allu Arjun,Nadhiya
Mahanati,09-05-2018,Telugu,Dulquer Salmaan,Keerthy Suresh
Rangasthalam,29-03-2018,Telugu,Ram Charan,Samantha Ruth Prabhu
Taxiwala,01-06-2018,Telugu,Vijay Deverakonda,Priyanka Jawalkar
Kavacham,07-12-2018,Telugu,Bellamkonda Srinivas,Kajal Agarwal
Padi Padi Leche Manasu,21-12-2018,Telugu,Sharwanand,Sai Pallavi
RX 100,12-07-2018,Telugu,Kartikeya Gummakonda,Payal Rajput
Agnyaathavaasi,09-01-2018,Telugu,Pawan Kalyan,Keerthy Suresh
Goodachari,03-08-2018,Telugu,Adivi Sesh,Supriya Yarlagadda
Hello Guru Prema Kosame,18-10-2018,Telugu,Ram Pothineni,Anupama Parameswaran
Touch Chesi Chudu,02-02-2018,Telugu,Ravi Teja,Raashii Khanna
Ee Nagaraniki Emaindi?,29-06-2018,Telugu,Vishwak Sen,Anisha Ambrose
Officer,01-06-2018,Telugu,Nagarjuna Akkineni,Myra Sareen
Bhaagamathie,26-01-2018,Telugu,Jayaram,Anushka Shetty
Manasuku Nachindi,16-02-2018,Telugu,Sundeep Kishan,Amyra Dastur
Srinivasa Kalyanam,09-08-2018,Telugu,Nithiin,Raashii Khanna
Veera Bhoga Vasantha Rayalu,26-10-2018,Telugu,Sree Vishnu,Shriya Saran
Jai Simha,12-01-2018,Telugu,Nandamuri Balakrishna,Nayanthara
C/o Kancharapalem,07-09-2018,Telugu,Kancharapalem Raju,Nitya Sri
Chi La Sow,03-08-2018,Telugu,Sushanth,Ruhani Sharma
Savyasachi,02-11-2018,Telugu,Naga Chaitanya Akkineni,Nidhhi Agerwal
Pantham,05-07-2018,Telugu,Gopichand,Mehreen Pirzada
Saakshyam,27-07-2018,Telugu,Bellamkonda Srinivas,Pooja Hegde
Shailaja Reddy Alludu,31-08-2018,Telugu,Naga Chaitanya Akkineni,Anu Emmanuel
Maaya,09-11-2018,Telugu,,
Chal Mohan Ranga,05-04-2018,Telugu,Nithiin,Megha Akash
Manchi Lakshanalunna Abbayi,23-03-2018,Telugu,Kalyan Ram,Kajal Agarwal
Next Enti?,07-12-2018,Telugu,Sundeep Kishan,Tamannaah Bhatia
Amar Akbar Anthony,26-10-2018,Telugu,Ravi Teja,Ileana D'Cruz
Raju Gadu,01-06-2018,Telugu,Raj Tarun,Amyra Dastur
Jamba Lakidi Pamba,22-06-2018,Telugu,Srinivasa Reddy,Siddhi Idnani
Inttelligent,09-02-2018,Telugu,Sai Durgha Tej,Lavanya Tripathi
Gayatri,09-02-2018,Telugu,Mohan Babu,Shriya Saran
Awe!,16-02-2018,Telugu,Priyadarshi Pullikonda,Kajal Agarwal
Howrah Bridge,02-02-2018,Telugu,Rahul Ravindran,Chandini Chowdary
Nannu Dochukunduvate,20-09-2018,Telugu,Sudheer Babu,Nabha Natesh
Chalo,02-02-2018,Telugu,Naga Shaurya,Rashmika Mandanna
Lover,20-07-2018,Telugu,Raj Tarun,Riddhi Kumar
Nartanasala,29-08-2018,Telugu,Jayaprakash Reddy,Yamini Bhaskar
Achari America Yatra,27-04-2018,Telugu,Vishnu Manchu,Pragya Jaiswal
Kartha Karma Kriya,08-11-2018,Telugu,Ravi Varma,Sahar Afsha
Brand Babu,03-08-2018,Telugu,Sumanth Shailendra,Eesha Rebba
Devadas,27-09-2018,Telugu,Nagarjuna Akkineni,Rashmika Mandanna
Krishnarjuna Yudham,12-04-2018,Telugu,Nani,Anupama Parameswaran
Silly Fellows,07-09-2018,Telugu,Allari Naresh,Chitra Shukla
Rangula Ratnam,12-01-2018,Telugu,Raj Tarun,Chitra Shukla
Antariksham 9000 KMPH,20-12-2018,Telugu,Varun Tej,Aditi Rao Hydari
Mehbooba,11-05-2018,Telugu,Murali Sharma,Neha Shetty
Hyderabad Love Story,23-02-2018,Telugu,Rahul Ravindran,Sija Rose
Tej... I Love You,06-07-2018,Telugu,Sai Durgha Tej,Anupama Parameswaran
Sammohanam,15-06-2018,Telugu,Sudheer Babu,Aditi Rao Hydari
Hushaaru,13-12-2018,Telugu,Dinesh Tej,Priya Vadlamani
Chalte Chalte,23-02-2018,Telugu,Vishwadev Rachakonda,Priyanka Jain
Neevevaro,24-08-2018,Telugu,Aadhi Pinisetty,Taapsee Pannu
Vijetha,12-07-2018,Telugu,Kalyaan Dhev,Malavika Nair
Kirrak Party,16-03-2018,Telugu,Nikhil Siddhartha,Simran Pareenja
Ratham,26-10-2018,Telugu,,
Raa Raa,23-02-2018,Telugu,Srikanth,Nazia Hussain
Naa Nuvve,14-06-2018,Telugu,Kalyan Ram,Tamannaah Bhatia
Ishtangaa,28-12-2018,Telugu,Priyadarshi Pullikonda,Tanishq Rajan
Sharabha,22-11-2018,Telugu,Napoleon,Mishti Chakravarty
Paper Boy,31-08-2018,Telugu,Santosh Shoban,Riya Suman
Parichayam,21-07-2018,Telugu,Rajiv Kanakala,Simrat Kaur
Adhugo,29-01-2018,Telugu,Ravi Babu,Nabha Natesh
